Week,Home Team,Away Team,Type
1,MM,TP,Season
1,SC,TJ,Season
1,JC,MP,Season
1,DB,BT,Season
1,CR,MW,Season
2,MM,SC,Season
2,TP,JC,Season
2,TJ,DB,Season
2,MP,MW,Season
2,BT,CR,Season
3,TJ,MM,Season
3,TP,BT,Season
3,SC,JC,Season
3,CR,MP,Season
3,MW,DB,Season
4,JC,MM,Season
4,TJ,TP,Season
4,CR,SC,Season
4,DB,MP,Season
4,BT,MW,Season
5,MW,MM,Season
5,SC,TP,Season
5,JC,TJ,Season
5,MP,BT,Season
5,DB,CR,Season
6,TP,MM,Season
6,JC,SC,Season
6,TJ,MP,Season
6,DB,MW,Season
6,CR,BT,Season
7,SC,MM,Season
7,JC,TP,Season
7,CR,TJ,Season
7,MP,DB,Season
7,MW,BT,Season
8,MM,JC,Season
8,TP,DB,Season
8,TJ,SC,Season
8,BT,MP,Season
8,MW,CR,Season
9,MM,TJ,Season
9,TP,SC,Season
9,JC,MW,Season
9,MP,CR,Season
9,BT,DB,Season
10,BT,MM,Season
10,CR,TP,Season
10,DB,SC,Season
10,TJ,JC,Season
10,MW,MP,Season
11,MP,MM,Season
11,TP,TJ,Season
11,SC,MW,Season
11,BT,JC,Season
11,CR,DB,Season
12,MM,CR,Season
12,MW,TP,Season
12,SC,MP,Season
12,BT,TJ,Season
12,DB,JC,Season
13,MM,DB,Season
13,MP,TP,Season
13,BT,SC,Season
13,MW,TJ,Season
13,JC,CR,Season
14,CR,DB,Playoffs
14,JC,TJ,Playoffs
15,TP,DB,Playoffs
15,MW,JC,Playoffs
16,TP,JC,Championship
16,MW,DB,Consolation
